carrier_mode,actual_ship,actual_delivery,carrier_posted_service_days,customer_distance,truckload_service_days,all_modes_goal_transit_days,actual_transit_days,otd_designation,load_id_pseudo,carrier_pseudo,origin_zip_3d,dest_zip_3d,ship_dow,ship_week,ship_month,ship_year,lane_zip3_pair,lane_id,distance_bucket
Truckload,2022-01-03 09:45:00,2022-01-05 09:00:00,,275,1.0,1,2,Late,786caec8eb1b,19936bf01cc6,441xx,172xx,0,1,1,2022,441xx→172xx,109c918ef6db,250-500
Truckload,2022-01-03 09:45:00,2022-01-03 10:30:00,,104,1.0,1,0,Delivered Early,b46e80cc7d74,19936bf01cc6,212xx,172xx,0,1,1,2022,212xx→172xx,8ce447819210,100-250
Truckload,2022-01-03 10:45:00,2022-01-04 14:00:00,,791,2.0,2,1,Delivered Early,6bbe5e8028ce,54874e5091dc,617xx,750xx,0,1,1,2022,617xx→750xx,fea9f01cb177,500-1k
Truckload,2022-01-03 11:00:00,2022-01-04 15:00:00,,791,2.0,2,1,Delivered Early,e383da06fae4,54874e5091dc,617xx,750xx,0,1,1,2022,617xx→750xx,fea9f01cb177,500-1k
Truckload,2022-01-03 12:30:00,2022-01-04 11:00:00,,496,1.0,1,1,On Time,edb8ef7622a2,dbfc03065eae,441xx,280xx,0,1,1,2022,441xx→280xx,f6f21727d3e8,250-500
Truckload,2022-01-03 12:30:00,2022-01-04 10:30:00,,214,1.0,1,1,On Time,e8c185540206,19936bf01cc6,088xx,172xx,0,1,1,2022,NE→NE,022089c6f88a,100-250
LTL,2022-01-03 12:43:00,2022-01-04 13:48:00,1.0,53,,1,1,On Time,283a3b7ae9c6,de78ac80b8a6,155xx,172xx,0,1,1,2022,155xx→172xx,c14b9c97a77b,0-100
LTL,2022-01-03 12:54:00,2022-01-06 13:39:00,3.0,1358,,3,3,On Time,17ba7a9b18e2,de78ac80b8a6,750xx,172xx,0,1,1,2022,750xx→172xx,306c2c9f4f41,1k-2k
LTL,2022-01-03 13:14:00,2022-01-05 12:46:00,3.0,1096,,3,2,Delivered Early,775966e9101f,0e32a59c0c8e,492xx,750xx,0,1,1,2022,492xx→750xx,d259c8421ac0,1k-2k
Truckload,2022-01-03 13:30:00,2022-01-05 11:15:00,,1268,3.0,3,2,Delivered Early,a5352c97cfa5,dbfc03065eae,441xx,770xx,0,1,1,2022,441xx→770xx,e1c226aff945,1k-2k
LTL,2022-01-03 13:33:00,2022-01-04 12:51:00,1.0,146,,1,1,On Time,8c90b95f97e8,0e32a59c0c8e,756xx,750xx,0,1,1,2022,756xx→750xx,bb0b771afbcf,100-250
Truckload,2022-01-03 13:45:00,2022-01-06 09:15:00,,1986,4.0,4,3,Delivered Early,c53075a68d25,54874e5091dc,841xx,172xx,0,1,1,2022,841xx→172xx,1f924f65678a,1k-2k
LTL,2022-01-03 13:48:00,2022-01-06 15:02:00,3.0,959,,3,3,On Time,b208b55b51b5,0e32a59c0c8e,473xx,750xx,0,1,1,2022,MW→SO,40acae259305,500-1k
Truckload,2022-01-03 14:00:00,2022-01-04 13:00:00,,589,2.0,2,1,Delivered Early,3ddc97de3154,dbfc03065eae,441xx,290xx,0,1,1,2022,441xx→290xx,6d9bfd98f9e9,500-1k
LTL,2022-01-03 14:10:00,2022-01-13 12:36:00,5.0,2498,,5,8,Late,ac6958bc6188,5797a633da7c,591xx,331xx,0,1,1,2022,WE→SO,cf0240637fd5,2k+
LTL,2022-01-03 14:27:00,2022-01-04 14:48:00,1.0,12,,1,1,On Time,7da5ac342850,cfd59abc9d4b,750xx,750xx,0,1,1,2022,750xx→750xx,8c225bc596a2,0-100
LTL,2022-01-03 14:27:00,2022-01-04 14:48:00,1.0,12,,1,1,On Time,ece84d84106c,cfd59abc9d4b,750xx,750xx,0,1,1,2022,750xx→750xx,8c225bc596a2,0-100
LTL,2022-01-03 14:30:00,2022-01-07 15:03:00,5.0,2070,,5,4,Delivered Early,e9a2300e4a10,ae9d1671f54a,980xx,750xx,0,1,1,2022,980xx→750xx,73f25041affe,2k+
LTL,2022-01-03 15:19:00,2022-01-07 15:26:00,2.0,647,,2,4,Late,ac2fdbc9cf96,5797a633da7c,544xx,441xx,0,1,1,2022,544xx→441xx,edda6970a7c9,500-1k
LTL,2022-01-03 15:23:00,2022-01-07 16:35:00,3.0,1115,,3,4,Late,1a3d01d525e5,0e32a59c0c8e,543xx,750xx,0,1,1,2022,543xx→750xx,da70b3e6b7d2,1k-2k
LTL,2022-01-03 15:33:00,2022-01-05 13:14:00,3.0,1334,,3,2,Delivered Early,83def963e18c,0e32a59c0c8e,750xx,172xx,0,1,1,2022,750xx→172xx,306c2c9f4f41,1k-2k
LTL,2022-01-03 16:04:00,2022-01-05 11:01:00,2.0,448,,2,2,On Time,7b3aaf8d0abe,de78ac80b8a6,240xx,301xx,0,1,1,2022,240xx→301xx,c37a17be8ca3,250-500
LTL,2022-01-03 16:04:00,2022-01-04 13:48:00,1.0,255,,1,1,On Time,5cfdcee5ca78,de78ac80b8a6,240xx,172xx,0,1,1,2022,240xx→172xx,186316684343,250-500
LTL,2022-01-03 16:26:00,2022-01-10 13:32:00,7.0,2321,,7,5,Delivered Early,9a52b22b2019,0e32a59c0c8e,172xx,863xx,0,1,1,2022,PA→AZ,30ccb6421ec7,2k+
LTL,2022-01-03 16:27:00,2022-01-12 16:40:00,7.0,2659,,7,7,On Time,860129927e54,0e32a59c0c8e,172xx,956xx,0,1,1,2022,172xx→956xx,c8be78fd3a60,2k+
LTL,2022-01-03 16:27:00,2022-01-10 13:09:00,6.0,2585,,6,5,Delivered Early,bee9bd0952ba,0e32a59c0c8e,172xx,925xx,0,1,1,2022,172xx→925xx,400d9ef6fd85,2k+
